sentence_id	chinese	tailo	poj	出處			
1	時機遐䆀，三頓若顧會齊勻就誠佳哉矣。	Sî-ki hiah bái, sann tǹg nā kòo ē tsiâu-ûn tō tsiânn ka-tsài--ah.		新北輔導團			
2	遮的上加是五百箍。	Tsia--ê siōng-ke sī gōo pah khoo.		新北輔導團			
3	開武林大會的時，五路英雄攏會齊到。	Khui bú-lîm tāi-huē ê sî, ngóo-lōo ing-hiông lóng ē tsiâu  kàu.		新北輔導團			
4	舊曆正月初九是天公生。	Kū-li̍k tsiann guē tshe-káu sī Thinn-kong-senn.		新北輔導團			
5	伊專門佇後壁講人的歹話。	I tsuan-bûn tī āu-piah kóng lâng ê  pháinn-uē. 		新北輔導團			
6	阮阿公耍股票輸了了，煞拍我出水。 	Guán a-kong sńg kóo- piò su liáu-liáu, suah phah guá tshut-tsuí. 		新北輔導團			
7	這領膨紗衫刺了真幼路。	Tsit niá  phòng-se-sann tshiah liáu tsin iù-lōo. 		新北輔導團			
8	查某人生囝是真危險的代誌。	Tsa-bóo-lâng senn-kiánn sī tsin guî-hiám ê tāi-tsì. 		新北輔導團			
9	索仔愛拍死結才袂甪去。	Soh-á ài phah sí-kat tsiah bē lut--khì. 		新北輔導團			
10	伊坐了𤺪矣，佇遐伸勻。	I tsē liáu siān--ah, tī hiah tshun-ûn. 		新北輔導團			
11	你欲啉咖啡抑是欲啉茶？ 	Lí beh lim ka-pi iah-sī beh lim tê? 		新北輔導團			
12	伊拄仔睏醒，目睭沙微沙微。	I tú-á khùn-tshénn, ba̍k-tsiu sa-bui-sa-bui. 		新北輔導團			
13	紅尾冬，較贏食赤鯮。 	Âng-bué-tang, khah iânn tsiah tshiah-tsang. 		新北輔導團			
14	伊為𪜶囝的代誌走傱。	I uī in kiánn ê tāi-tsì tsáu-tsông. 		新北輔導團			
15	你莫佇遐卸世眾，好無？ 	Lí mài tī hiah sià-sì-tsìng, hó--bô?		新北輔導團			
16	伊未曾食飽就咧拍呃。 	I buē-tsîng tsia̍h-pá tō teh phah-eh. 		新北輔導團			
17	我閣有一大堆沓沓滴滴的代誌愛做。	Guá koh ū tsi̍t-tuā-tui tap-tap-tih-tih ê tāi-tsì ài tsò. 		新北輔導團			
18	伊彼支鼻看起來直溜溜，真媠。	I hit ki phīnn khuànn--khí-lâi ti̍t-liu-liu, tsin suí.		新北輔導團			
19	伊驚甲面仔青恂恂。	I kiann kah bīn-á tshenn-sún-sún. 		新北輔導團			
20	這間厝廳起了誠挑俍。 	Tsit king tshù-thiann khí liáu tsiânn thiau-lāng. 		新北輔導團			
21	垃圾人身軀三工無洗。	Lah-sap lâng sin-khu sann kang bô sé. 		新北輔導團			
22	我早就共你看出出矣。 	Guá tsá tō kā lí khuànn-tshut-tshut--ah. 		新北輔導團			
23	伊的穿插有綴時行。	I ê tshīng-tsah ū tuè sî-kiânn. 		新北輔導團			
24	看你按呢面憂面結，敢是有心事？ 	Khuànn lí án-ne bīn-iu-bīn-kat, kám-sī ū sim-sū? 		新北輔導團			
25	晏起來作無穡。	Uànn khí--lâi tsoh bô sit. 		新北輔導團			
26	這塊椅仔苴真軟。 	Tsit tè í-á-tsū tsin nńg. 		新北輔導團			
27	伊共錢拍無去，去予阿母罵甲若臭頭雞仔。	I kā tsînn phah-bô--khì, khì hōo a-bú mē kah ná tshàu-thâu-ke-á. 		新北輔導團			
28	財子壽，三字全。 	Tsâi-tsú-siū, sann jī tsuân.  		新北輔導團			
29	欲食就提，莫咧假仙假觸。	Beh tsia̍h tō the̍h, mài teh ké-sian- ké-tak.		新北輔導團			
30	伊袂曉排解心事，才會發性地。 	I bē-hiáu pâi-kái sim-sū, tsiah ē huat-sìng-tē.  		新北輔導團			
31	雨落遮爾大，我看會淹大水。 	Hōo lo tsiah-nī tuā, guá khuànn ē im-tuā-tsuí.  		新北輔導團			
32	這塊餅甜粅粅，你敢欲食？ 	Tsit tè piánn tinn-but-but, lí kám beh tsia̍h  ? 		新北輔導團			
33	這个規定誠無理。	Tsit ê kui-tīng tsiânn bô-lí. 		新北輔導團			
34	規路攏是車，看著頭眩目暗。	Kui-lōo lóng sī tshia, khuànn tio̍h thâu-hîn-ba̍k-àm.  		新北輔導團			
35	彼間店透年攏無歇睏。 	Hit king tiàm thàu-nî lóng bô hioh-khùn.  		新北輔導團			
36	伊講的話攏無影無跡。 	I kóng ê uē lóng bô-iánn-bô-tsiah. 		新北輔導團			
37	你食了就會心涼脾土開。	Lí tsia̍h liáu tō ē sim liâng pî-thóo khui.		新北輔導團			
38	按呢傷超過啦！ 	Án-ne siunn tshiau-kuè--lah! 		新北輔導團			
39	我去香港看人跑馬。	Guá khì Hiong-káng khuànn lâng pháu-bé. 		新北輔導團			
40	彼个查某人誠勥跤。	Hit ê tsa-bóo-lâng tsiânn khiàng-kha.  		新北輔導團			
41	歁話講規擔。	Khám-uē kóng kui tànn. 		新北輔導團			
42	下暗哪會煮甲遮爾仔腥臊？  	E-àm ná ē tsú kah tsiah-nī-á tshenn-tshau?  		新北輔導團			
43	無路用的跤數。	Bô-lōo-iōng ê kha-siàu. 		新北輔導團			
44	你莫閣來膏膏纏。	Lí mài koh lâi ko-ko-tînn.  		新北輔導團			
45	看這个範勢，無走袂使矣！	Khuànn tsit ê pān-sè, bô tsáu bē-sái--ah!		新北輔導團			
46	你莫共我激怐怐。	Lí mài kā guá kik-khòo-khòo. 		新北輔導團			
47	這馬這个時勢真歹賺食。	Tsit-má tsit ê sî-sè tsin pháinn tsuán-tsia̍h  .		新北輔導團			
48	你有欲去糴米無？ 	Lí ū be khì tia̍h-bí--bô?  		新北輔導團			
49	伊猶是一个羅漢跤仔。 	I iáu-sī tsi̍t ê loô-hàn-kha-á. 		新北輔導團			
50	庄跤路蟲豸真濟，行路著細膩。 	Tsng-kha-lōo thâng-thuā tsin tsē, kiânn-lōo tio̍h sè-jī.  		新北輔導團			
51	伊食錢的代誌煏空矣。	I tsia̍h-tsînn ê tāi-tsì piak-khang--ah.		教育部辭典			
52	囡仔若毋食糜飯，爸母會煩惱伊飼袂大漢。	Gín-á nā m̄ tsia̍h muê-pn̄g, pē-bú ē huân-ló i tshī bē tuā-hàn.		教育部辭典			
53	我強欲予遮的冊硩扁矣！	Guá kiōng-beh hōo tsia-ê tsheh teh-pínn--ah!		教育部辭典			
54	我跤捗比人較大，真歹買鞋仔。	Guá kha-pôo pí lâng khah tuā, tsin pháinn bé ê-á.		教育部辭典			
55	你驚碰壁毋敢開喙求人，按呢永遠都袂成功。	Lí kiann pōng-piah m̄ kánn khui-tshuì kiû--lâng, án-ne íng-uán to bē sîng-kong.		教育部辭典			
56	彼个囡仔規身軀攏生痱仔。	Hit ê gín-á kui-sin-khu lóng senn puì-á.		教育部辭典			
57	伊真愛穿殕色的褲。	I tsin ài tshīng phú-sik ê khòo.		教育部辭典			
58	我緊張甲心肝頭咇噗跳。	Guá kín-tiunn kah sim-kuann-thâu phi̍h-pho̍k-thiàu.		教育部辭典			
59	伊真正有夠大龐。	I tsin-tsiànn ū-kàu tuā-phiāng.		教育部辭典			
60	今仔日的暗頓誠豐沛！	Kin-á-ji̍t ê àm-tǹg tsiânn phong-phài!		教育部辭典			
61	講甲喙角專泡	kóng kah tshuì-kak tsuan pho		教育部辭典			
62	坐著愛坐予好勢，跤按呢相袚袂看口得。	Tsē tio̍h-ài tsē hōo hó-sè, kha án-ne sio-phua̍h bē-khuànn-kháu--tit.		教育部辭典			
63	外口無路燈，暗漠漠。	Guā-kháu bô lōo-ting, àm-bo̍k-bo̍k.		教育部辭典			
64	工課若無做煞，免數想欲食暗頓。	Khang-khuè nā bô tsò-suah, bián siàu-siūnn beh tsia̍h àm-tǹg.		教育部辭典			
65	伊定定講家己歹命，愛拖磨一世人。	I tiānn-tiānn kóng ka-kī pháinn-miā, ài thua-buâ tsi̍t-sì-lâng.		教育部辭典			
66	無某無猴，穿衫破肩胛頭。	Bô-bóo-bô-kâu, tshīng sann phuà king-kah-thâu.		教育部辭典			
67	𪜶兩个個性誠峇。	In nn̄g ê kò-sìng tsiânn bā.		教育部辭典			
68	彼隻船仔沕落去水底矣。	Hit tsiah tsûn-á bi̍t lo̍h-khì tsuí-té--ah.		教育部辭典			
69	伊都感覺家己𢯾鼻𢯾鼻，較無遐嫣，按算歇熱欲去美容。	I to kám-kak ka-kī mooh-phīnn-mooh-phīnn, khah bô hiah ian, àn-sǹg hioh-jua̍h beh khì bí-iông.		教育部辭典			
70	攑刀的時愛攑刀柄，毋通去捎刀鋩。	Gia̍h to ê sî ài gia̍h to-pènn, m̄-thang khì sa to-mê.		教育部辭典			
71	無試看覓哪會知。	Bô tshì khuànn-māi ná ē tsai.		教育部辭典			
72	大自然實在真奇妙。	Tāi-tsū-jiân si̍t-tsāi tsin kî-miāu.		教育部辭典			
73	伊的目睫毛真長。	I ê ba̍k-tsiah-mn̂g tsin tn̂g.		教育部辭典			
74	伊都無愛你，你何乜苦一直等伊？	I to bô ài--lí, lí hô-mí-khóo it-ti̍t tán--i?		教育部辭典			
75	伊氣甲趒跤頓蹄。	I khì kah tiô-kha-tǹg-tê.		教育部辭典			
76	拋碇了後，咱就會當落船矣。	Pha-tiānn liáu-āu, lán tō ē-tàng lo̍h-tsûn--ah.		教育部辭典			
77	驚某大丈夫，拍某豬狗牛。	Kiann bóo tāi-tiōng-hu, phah bóo ti káu gû.		教育部辭典			
78	伊欠人真濟錢，不時有債主佇巷仔口張等伊。	I khiàm lâng tsin tsē tsînn, put-sî ū tsè-tsú tī hāng-á-kháu tng-tán--i.		教育部辭典			
79	遮爾好的機會，你是閣咧躊躇啥物？	Tsiah-nī hó ê ki-huē, lí sī koh teh tiû-tû siánn-mih?		教育部辭典			
80	砧皮鞋，食毛。	Tiam-phuê-ê, tsia̍h môo.		教育部辭典			
81	大舌閣興喋。	Tuā-tsi̍h koh hìng thi̍h.		教育部辭典			
82	彼隻鳥仔一下展翼，連鞭就飛甲無看見影矣。	Hit tsiah tsiáu-á tsi̍t-ē thián-si̍t, liâm-mi tō pue kah bô khuànn-kìnn iánn--ah.		教育部辭典			
83	捾佇手裡的一袋麵粉一直窞倕落來。	Kuānn tī tshiú--lí ê tsi̍t tē mī-hún it-ti̍t thām-thuī--lo̍h-lâi.		教育部辭典			
84	伊三十捅歲。	I sann-tsa̍p-thóng huè.		教育部辭典			
85	呔會按呢生？	Thài ē án-ne senn?		教育部辭典			
86	用齒戳仔戳喙齒。	Iōng khí-thok-á thok tshuì-khí.		教育部辭典			
87	這个查某囡仔真𠢕司奶。	Tsit ê tsa-bóo gín-á tsin gâu sai-nai.		教育部辭典			
88	我規身軀干焦十箍爾爾。	Guá kui-sin-khu kan-na tsa̍p khoo niā-niā.		教育部辭典			
89	桌頂的菜，你毋通佇遐偷拈。	Toh-tíng ê tshài, lí m̄-thang tī hia thau ni.		教育部辭典			
90	有人講躡跤尾行路會減肥呢。	Ū lâng kóng neh-kha-bué kiânn-lōo ē kiám-puî--neh.		教育部辭典			
91	做業務的就是愛會曉佮人盤撋。	Tsò gia̍p-bū--ê tō sī ài ē-hiáu kah lâng puânn-nuá.		教育部辭典			
92	伊一直喃講欲搬去庄跤蹛。	I it-ti̍t nauh kóng beh puann-khì tsng-kha tuà.		教育部辭典			
93	電話當咧喨。	Tiān-uē tng teh liang.		教育部辭典			
94	𪜶老爸聽著好消息，笑甲喙仔裂獅獅。	In lāu-pē thiann-tio̍h hó siau-sit, tshiò kah tshuì-á li̍h-sai-sai.		教育部辭典			
95	你的手指頭仔有幾个腡？	Lí ê tshiú-tsíng-thâu-á ū kuí ê lê?		教育部辭典			
96	外地的朋友來相揣，我𤆬伊出去附近四界蹓蹓咧	Guā-tē ê pîng-iú lâi sio-tshuē, guá tshuā i tshut-khì hù-kīn sì-kè lau-lau--leh.		教育部辭典			
97	伊頭殼去挵著桌角煞腫一癗。	I thâu-khak khì lòng-tio̍h toh-kak suah tsíng tsi̍t luî.		教育部辭典			
98	我揣無路，一直佇這搭踅玲瑯。	Guá tshuē-bô lōo, it-ti̍t tī tsit-tah se̍h-lin-long.		教育部辭典			
99	有囡仔佇身軀邊經跤經手欲哪做有工課？	Ū gín-á tī sin-khu-pinn kenn-kha-kenn-tshiú beh ná tsò ū khang-khuè?		教育部辭典			
100	老人驚跋倒，毋好𬦰山崎。	Lāu-lâng kiann pua̍h-tó, m̄-hó peh suann-kiā.		教育部辭典			
101	伊這个人禁忌特別濟。	I tsit ê lâng kìm-khī ti̍k-pia̍t tsē.		教育部辭典			
102	伊喙邊有一粒愛食痣。	I tshuì-pinn ū tsi̍t lia̍p ài-tsia̍h-kì.		教育部辭典			
103	我是艱苦人出身。	Guá sī kan-khóo-lâng tshut-sin.		教育部辭典			
104	煮麻油雞一定愛先用薑母落去炒。	Tsú muâ-iû-ke it-tīng ài sing īng kiunn-bó lo̍h-khì tshá.		教育部辭典			
105	彼个人傷苛頭，我無想欲佮伊交陪。	Hit ê lâng siunn khô-thâu, guá bô siūnn-beh kah i kau-puê.		教育部辭典			
106	物件予人勍去矣！	Mi̍h-kiānn hōo lâng khiang--khì--ah!		教育部辭典			
107	這堵壁缺兩隙。	Tsit tóo piah khih nn̄g khiah.		教育部辭典			
108	阿榮伯上過謙，對人有夠客氣。	A-îng peh siōng kòo-khiam, tuì lâng ū-kàu kheh-khì.		教育部辭典			
109	兩角找五分，覺悟。這是一句孽譎仔話。	Nn̄g kak tsāu gōo hun, kak-ngōo. Tse sī tsi̍t kù gia̍t-khiat-á-uē.		教育部辭典			
110	遮四箍圍仔攏是塗沙。	Tsia sì-khoo-uî-á lóng sī thôo-sua.		教育部辭典			
111	阮阿媽雖然毋捌字，毋過伊講出喙的話攏是金言玉語。	Guán a-má sui-jiân m̄ bat-jī, m̄-koh i kóng tshut-tshuì ê uē lóng sī kim-giân-gio̍k-gí.		教育部辭典			
112	樹仔跤的樹葉仔無偌濟，用鋏仔鋏鋏咧就會用得矣。	Tshiū-á-kha ê tshiū-hio̍h-á bô guā-tsē, iōng giap-á giap-giap--leh tō ē-īng--tit--ah. 		教育部辭典			
113	伊共錢扲牢牢。	I kā tsînn gīm-tiâu-tiâu.		教育部辭典			
114	你閣佇遐齴牙，早慢會去予人推。	Lí koh tī hia giàng-gê, tsá-bān ē khì hōo lâng thui.		教育部辭典			
115	你毋通誤解我的意思。	Lí m̄-thang gōo-kái guá ê ì-sù.		教育部辭典			
